date,Steps Per day,ID
2023-05-12 ,7744,2077
2023-05-13 ,20184,2078
2023-05-14 ,18868,2079
2023-05-15 ,9721,2080
2023-05-16 ,9996,2081
2023-05-17 ,11289,2082
2023-05-18 ,10367,2083
2023-05-19 ,9224,2084
2023-05-20 ,14184,2085
2023-05-21 ,9642,2086
2023-05-22 ,4125,2087
2023-05-23 ,7012,2088
2023-05-24 ,2447,2089
2023-05-25 ,10486,2090
2023-05-26 ,11721,2091
2023-05-27 ,11860,2092
2023-05-28 ,12332,2093
2023-05-29 ,14267,2094
2023-05-30 ,16205,2095
2023-05-31 ,6383,2096
2023-06-01 ,12552,2097
2023-06-02 ,13197,2098
2023-06-03 ,14911,2099
2023-06-04 ,16786,2100
2023-06-05 ,13022,2101
2023-06-06 ,11036,2102
2023-06-07 ,11289,2103
2023-06-08 ,10919,2104
2023-06-09 ,14576,2105
2023-06-10 ,17484,2106
2023-06-11 ,11565,2107
2023-06-12 ,17412,2108
2023-06-13 ,6737,2109
2023-06-14 ,15188,2110
2023-06-15 ,11987,2111
2023-06-16 ,15578,2112
2023-06-17 ,17627,2113
2023-06-18 ,6992,2114
2023-06-19 ,10063,2115
2023-06-20 ,7697,2116
2023-06-21 ,10933,2117
